"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Roderick Johnson";NA;"OT";26;198,12;138,799152
"Lucas Niang";67;"OT";23;198,12;153,767688
"Gene Pryor";NA;"OT";NA;190,5;140,61352
"Prince Tega Wanogho";70;"OT";24;195,58;137,438376
"Frank Clark";55;"DE";28;190,5;118,387512
"Mike Danna";51;"DE";24;187,96;115,66596
"Austin Edwards";60;"DE";24;195,58;123,830616
"Malik Herring";70;"DE";24;190,5;127,00576
"Joshua Kaindoh";59;"DE";23;195,58;118,841104
"George Karlaftis";NA;"DE";21;193,04;124,7378
"Cortez Broughton";79;"DT";25;187,96;132,902456
"Chris Jones";95;"DT";27;198,12;135,170416
"Derrick Nnadi";91;"DT";26;185,42;143,788664
"Khalen Saunders";99;"DT";25;182,88;146,963808
"Taylor Stallworth";NA;"DT";26;187,96;138,34556
"Darius Stills";NA;"DT";24;182,88;126,098576
"Tershawn Wharton";98;"DT";23;193,04;126,098576
"Nick Bolton";54;"LB";22;182,88;107,501304
"Shilique Calhoun";NA;"LB";30;195,58;113,851592
"Jermaine Carter Jr";NA;"LB";27;185,42;102,0582
"Leo Chenal";NA;"LB";21;187,96;118,387512
"Jack Cochrane";NA;"LB";NA;190,5;104,32616
"Willie Gay";50;"LB";24;185,42;106,59412
"Darius Harris";47;"LB";26;187,96;108,86208
